,Passing Rank,Completions,Attempts,Completion %,Passing Yards,Passing Yards / Attempt,Yards / Reception,Passing Touchdowns,Interceptions,QB Rating,Sacks,Passing Yardage Lost to Sacks,First Downs Passing,Fumbles,Fumbles Lost,Rushing Rank,Attempts,Rushing Yards,Rushing Yards / Attempt,Rushing Touchdowns,First Downs Rushing,Kicking Rank,Kicking Points,Field Goals Made,Field Goals Attempted,Field Goal %,Longest Field Goal,Field Goals Blocked,Extra Points Made,Extra Points Attempted,Extra Point %,Extra Points Blocked,Punting Rank,Punts,Punt Yards,Punt Yards Avg,Returning Rank,Kickoff Returns,Kickoff Return Yards,Kickoff Return Avg,Kickoff Return Touchdowns,Kickoff Return Long,Punt Returns,Punt Return Yards,Punt Return Avg,Punt Return Touchdowns,Punt Return Long,Defense Rank,Points Allowed,Total Tackles,Solo Tackles,Assisted Tackles,Sacks,Sack Yards,Interceptions,Interception Return Touchdowns,Forced Fumbles,Fumbles Opp Recovered,Fumbles Opp Recovered Touchdowns,Passes Defended,Stuffs,Stuff Yards,Safeties,Downs Rank,First Downs,First Downs Rushing,First Downs Passing,Third Downs Made,Third Downs Attempted,Third Down %,Fourth Downs Made,Fourth Downs Attempted,Fourth Down %,Penalties,First Downs Penalty,Penalty Yards,Yardage Rank,Points,Yards,Rushing Yards,Rushing Yards / Attempt,Rushing Touchdowns,Passing Yards,Passing Yards / Attempt,Yards / Reception,Passing Touchdowns,Kickoff Return Yards,Punt Return Yards,Penalty Yards,Turnovers Rank,Turnover +/-,Interceptions,Fumbles Opp Recovered,Interceptions,Fumbles Lost
DET,31,16,26,0.615,84,3.2,8.4,0,2,34.8,6,51,6,0,0,28,20,58,2.9,0,3,10,9,3,3,1.0,42,0,0,0,0.0,0,4,5,240,48.0,28,4,68,17.0,0,26,4,22,5.5,0,13,12,17,67,48,19,1,10,3,0,1,1,0,7,4,9,0,31,10,3,6,2,12,0.17,0,2,0.0,6,1,37,27,9,142,58,2.9,0,84,3.2,8.4,0,68,22,37,7,1,3,1,2,1
GB,21,20,37,0.541,164,4.4,8.7,0,3,31.8,1,10,9,0,0,9,32,139,4.3,2,8,20,5,1,1,1.0,24,0,2,2,1.0,0,22,5,210,42.0,16,4,83,20.8,0,26,4,12,3.0,0,14,5,9,54,38,16,6,51,2,0,0,1,0,4,2,2,0,13,19,8,9,7,15,0.47,0,0,0.0,9,2,69,19,17,303,139,4.3,2,164,4.4,8.7,0,83,12,69,21,-1,2,1,3,1
HOU,29,16,28,0.571,93,3.3,7.9,0,4,24.0,4,34,7,1,0,16,22,105,4.8,1,6,29,1,0,0,0.0,0,0,1,1,1.0,0,21,7,295,42.1,24,8,151,18.9,0,24,2,16,8.0,0,14,32,40,72,48,24,1,4,0,0,0,0,0,3,5,18,0,25,13,6,7,3,11,0.27,0,1,0.0,4,0,66,29,7,198,105,4.8,1,93,3.3,7.9,0,151,16,66,30,-4,0,0,4,0
IND,4,29,36,0.806,282,7.8,9.7,4,0,136.3,1,0,19,0,0,13,29,112,3.9,0,6,5,10,2,2,1.0,44,0,4,4,1.0,0,3,2,100,50.0,9,5,119,23.8,0,30,3,6,2.0,0,3,10,16,69,50,19,4,31,0,0,5,1,0,7,3,6,0,1,27,6,19,5,10,0.5,0,1,0.0,5,2,35,6,34,394,112,3.9,0,282,7.8,9.7,4,119,6,35,13,0,0,1,0,1
JAX,13,22,37,0.595,203,5.5,10.6,1,3,49.7,4,30,13,0,0,3,41,193,4.7,1,9,20,5,1,1,1.0,43,0,2,2,1.0,0,28,2,75,37.5,26,5,93,18.6,0,29,2,7,3.5,0,9,20,24,34,22,12,3,28,0,0,1,0,0,3,2,5,0,4,23,9,13,10,19,0.53,0,2,0.0,2,1,25,19,17,396,193,4.7,1,203,5.5,10.6,1,93,7,25,30,-4,0,0,3,1
KC,23,23,41,0.561,151,3.7,8.0,0,1,54.0,6,34,12,0,0,21,21,90,4.3,0,4,10,9,3,3,1.0,52,0,0,0,0.0,0,23,7,283,40.4,15,5,104,20.8,0,27,2,6,3.0,0,6,15,20,52,41,11,2,9,2,0,0,0,0,7,4,9,0,17,16,4,12,4,15,0.27,0,1,0.0,3,0,23,27,9,241,90,4.3,0,151,3.7,8.0,0,104,6,23,13,0,2,0,1,1
MIA,28,14,33,0.424,100,3.0,8.4,0,2,24.8,2,18,4,1,0,13,28,112,4.0,0,6,31,0,0,0,0.0,0,0,0,0,0.0,0,10,8,369,46.1,18,3,61,20.3,0,32,2,11,5.5,0,12,18,21,80,46,34,3,14,0,0,3,2,0,3,4,10,0,28,12,6,4,4,16,0.25,1,3,0.33,2,2,25,31,0,212,112,4.0,0,100,3.0,8.4,0,61,11,25,13,0,0,2,2,0
MIN,9,24,40,0.6,245,6.1,11.4,2,1,83.9,3,28,11,0,0,27,15,62,4.1,0,3,29,1,0,1,0.0,0,0,1,1,1.0,0,6,7,331,47.3,23,6,115,19.2,0,22,1,1,1.0,0,1,22,26,66,48,18,2,16,1,0,1,1,0,2,6,13,0,20,15,3,11,2,13,0.15,1,1,1.0,8,1,56,25,13,307,62,4.1,0,245,6.1,11.4,2,115,1,56,7,1,1,1,1,0
NE,26,19,27,0.704,125,4.6,6.8,2,0,104.7,1,4,8,0,0,16,38,105,2.8,1,6,1,16,4,4,1.0,36,0,4,4,1.0,0,25,4,160,40.0,1,2,102,51.0,1,93,4,44,11.0,0,13,4,7,65,41,24,4,34,4,0,1,0,0,7,0,0,0,20,15,6,8,7,17,0.41,1,2,0.5,2,1,10,1,40,230,105,2.8,1,125,4.6,6.8,2,102,44,10,2,4,4,0,0,0
NO,15,21,38,0.553,199,5.2,9.9,0,1,59.0,2,8,13,0,0,24,24,71,3.0,1,2,23,4,1,1,1.0,41,0,1,1,1.0,0,7,6,281,46.8,16,4,83,20.8,0,26,3,20,6.7,0,11,10,16,53,42,11,1,11,0,0,1,0,0,7,0,0,0,20,15,2,13,8,17,0.47,1,2,0.5,4,0,16,26,10,270,71,3.0,1,199,5.2,9.9,0,83,20,16,21,-1,0,0,1,0
